focus,entity_type,source
Costocoracoid ligament congenitally short,disease,GARD
Cowden syndrome,disease,GARD
"Coxa vara, congenital",disease,GARD
Cramp-fasciculation syndrome,disease,GARD
Crandall syndrome,disease,GARD
Cranioacrofacial syndrome,disease,GARD
Craniodiaphyseal dysplasia,disease,GARD
Craniofacial dyssynostosis,disease,GARD
"Craniometaphyseal dysplasia, autosomal dominant",disease,GARD
"Craniometaphyseal dysplasia, autosomal recessive type",disease,GARD
"Craniosynostosis, anal anomalies, and porokeratosis",disease,GARD
Craniosynostosis-mental retardation syndrome of Lin and Gettig,disease,GARD
CREST syndrome,disease,GARD
"Crigler Najjar syndrome, type 1",disease,GARD
"Crigler Najjar syndrome, type 2",disease,GARD
Crisponi syndrome,disease,GARD
Crome syndrome,disease,GARD
Cronkhite-Canada disease,disease,GARD
Crusted scabies,disease,GARD
Cryptogenic organizing pneumonia,disease,GARD
Cryptomicrotia brachydactyly syndrome,disease,GARD
Crystal arthropathies,disease,GARD
Currarino triad,disease,GARD
Curry Jones syndrome,disease,GARD
Cushing's syndrome,disease,GARD
Cutaneous mastocytoma,disease,GARD
Cutaneous mastocytosis,disease,GARD
D-2-alpha hydroxyglutaric aciduria,disease,GARD
Dandy-Walker cyst with Renal-Hepatic-Pancreatic dysplasia,disease,GARD
Dandy-Walker like malformation with atrioventricular septal defect,disease,GARD
Dandy-Walker malformation with facial hemangioma,disease,GARD
"Dandy-Walker malformation with intellectual disability, basal ganglia disease and seizures",disease,GARD
Dandy-Walker malformation with postaxial polydactyly,disease,GARD
Dandy-Walker malformation with sagittal craniosynostosis and hydrocephalus,disease,GARD
Danon disease,disease,GARD
DCMA syndrome,disease,GARD
De Barsy syndrome,disease,GARD
De Sanctis-Cacchione syndrome,disease,GARD
Deafness and myopia syndrome,disease,GARD
Deafness conductive ptosis skeletal anomalies,disease,GARD
Deafness enamel hypoplasia nail defects,disease,GARD
Deafness nephritis anorectal malformation,disease,GARD
Deafness oligodontia syndrome,disease,GARD
Deafness with labyrinthine aplasia microtia and microdontia (LAMM),disease,GARD
"Deafness, autosomal dominant nonsyndromic sensorineural 17",disease,GARD
"Deafness, autosomal dominant nonsyndromic sensorineural 22",disease,GARD
"Deafness, autosomal dominant nonsyndromic sensorineural 23",disease,GARD
"Deafness, autosomal recessive 51",disease,GARD
"Deafness, dystonia, and cerebral hypomyelination",disease,GARD
"Deafness, epiphyseal dysplasia, short stature",disease,GARD
"Deafness, X-linked 2",disease,GARD
Deafness-infertility syndrome,disease,GARD
Dehydrated hereditary stomatocytosis,disease,GARD
Dementia familial British,disease,GARD
Dendritic cell tumor,disease,GARD
Dennis Fairhurst Moore syndrome,disease,GARD
Dens in dente and palatal invaginations,disease,GARD
Dent disease 1,disease,GARD
Dentatorubral-pallidoluysian atrophy,disease,GARD
"Dentin dysplasia, type 1",disease,GARD
Dentinogenesis imperfecta,disease,GARD
Dentinogenesis imperfecta type 2,disease,GARD
Denys-Drash syndrome,disease,GARD
Der Kaloustian Mcintosh Silver syndrome,disease,GARD
Dermal eccrine cylindroma,disease,GARD
Dermatofibrosarcoma protuberans,disease,GARD
Dermatoleukodystrophy,disease,GARD
Dermatoosteolysis Kirghizian type,disease,GARD
Dermochondrocorneal dystrophy of Franois,disease,GARD
Dermoids of cornea,disease,GARD
Desmoid tumor,disease,GARD
Desmoplastic infantile ganglioglioma,disease,GARD
Desmoplastic small round cell tumor,disease,GARD
Desmosterolosis,disease,GARD
Developmental dysphasia familial,disease,GARD
Dextrocardia with situs inversus,disease,GARD
Dextrocardia with unusual facies and microphthalmia,disease,GARD
D-glycericacidemia,disease,GARD
Diabetes insipidus nephrogenic mental retardation and intracerebral calcification,disease,GARD
Diabetes mellitus type 1,disease,GARD
Diabetic mastopathy,disease,GARD
Diamond-Blackfan anemia 3,disease,GARD
Dicarboxylic aminoaciduria,disease,GARD
DICER1-related pleuropulmonary blastoma cancer predisposition syndrome,disease,GARD
Diffuse cutaneous mastocytosis,disease,GARD
Diffuse cutaneous systemic sclerosis,disease,GARD
Diffuse gastric cancer,disease,GARD
Diffuse idiopathic pulmonary neuroendocrine cell hyperplasia,disease,GARD
Diffuse idiopathic skeletal hyperostosis,disease,GARD
Diffuse mesangial sclerosis,disease,GARD
"Diffuse palmoplantar keratoderma, Bothnian type",disease,GARD
Diffuse panbronchiolitis,disease,GARD
Dihydrolipoamide dehydrogenase deficiency,disease,GARD
Dihydropteridine reductase deficiency,disease,GARD
Dihydropyrimidinase deficiency,disease,GARD
Dihydropyrimidine dehydrogenase deficiency,disease,GARD
Disseminated peritoneal leiomyomatosis,disease,GARD
Disseminated superficial actinic porokeratosis,disease,GARD
Distal chromosome 18q deletion syndrome,disease,GARD
Distal myopathy with vocal cord weakness,disease,GARD
Dominant dystrophic epidermolysis bullosa,disease,GARD
Dominant optic atrophy,disease,GARD
Donnai-Barrow syndrome,disease,GARD
Dopamine beta hydroxylase deficiency,disease,GARD
Dopa-responsive dystonia,disease,GARD
Dowling-Degos disease,disease,GARD
Doyne honeycomb retinal dystrophy,disease,GARD
Dravet syndrome,disease,GARD
Duane syndrome type 1,disease,GARD
Duane syndrome type 2,disease,GARD
Duane syndrome type 3,disease,GARD
Duodenal ulcer due to antral G-cell hyperfunction,disease,GARD
Dwarfism,disease,GARD
Dwarfism Levi type,disease,GARD
Dwarfism stiff joint ocular abnormalities,disease,GARD
Dwarfism tall vertebrae,disease,GARD
"Dwarfism, low-birth-weight type with unresponsiveness to growth hormone",disease,GARD
"Dwarfism, mental retardation and eye abnormality",disease,GARD
"Dwarfism, proportionate with hip dislocation",disease,GARD
Dyggve-Melchior-Clausen syndrome,disease,GARD
Dykes Markes Harper syndrome,disease,GARD
Dysautonomia like disorder,disease,GARD
Dyschromatosis universalis hereditaria,disease,GARD
Dysequilibrium syndrome,disease,GARD
Dyskeratosis congenita autosomal dominant,disease,GARD
Dyskeratosis congenita autosomal recessive,disease,GARD
Dyssegmental dysplasia Silverman-Handmaker type,disease,GARD
Dyssynergia cerebellaris myoclonica,disease,GARD
Dystelephalangy,disease,GARD
Dystonia 1,disease,GARD
Dystonia 11,disease,GARD
Dystonia 16,disease,GARD
Dystonia 18,disease,GARD
Dystonia 19,disease,GARD
"Dystonia 2, torsion, autosomal recessive",disease,GARD
"Dystonia 3, torsion, X-linked",disease,GARD
"Dystonia 5, Dopa-responsive type",disease,GARD
"Dystonia 6, torsion",disease,GARD
"Dystonia 7, torsion",disease,GARD
Dystonia 8,disease,GARD
Dystrophic epidermolysis bullosa,disease,GARD
Eales disease,disease,GARD
Early Infantile Epileptic Encephalopathy,disease,GARD
Early infantile epileptic encephalopathy 25,disease,GARD
Early infantile epileptic encephalopathy 4,disease,GARD
"Early-onset myopathy, areflexia, respiratory distress and dysphagia",disease,GARD
"Early-onset, autosomal dominant Alzheimer disease",disease,GARD
Ebstein's anomaly,disease,GARD
Ectodermal dysplasia adrenal cyst,disease,GARD
Ectodermal dysplasia mental retardation syndactyly,disease,GARD
Ectodermal dysplasia skin fragility syndrome,disease,GARD
Ectodermal dysplasia with natal teeth Turnpenny type,disease,GARD
"Ectodermal dysplasia, hidrotic, Christianson-Fourie type",disease,GARD
Ectopia pupillae,disease,GARD
Ectrodactyly and ectodermal dysplasia without cleft lip/palate,disease,GARD
Ectrodactyly cleft palate syndrome,disease,GARD
Ectrodactyly polydactyly,disease,GARD
EEC syndrome,disease,GARD
Ehlers-Danlos syndrome with periventricular heterotopia,disease,GARD
"Ehlers-Danlos syndrome, dermatosparaxis type",disease,GARD
"Ehlers-Danlos syndrome, kyphoscoliosis type",disease,GARD
"Ehlers-Danlos syndrome, periodontitis type",disease,GARD
"Ehlers-Danlos syndrome, progeroid type",disease,GARD
"Ehlers-Danlos syndrome, spondylocheirodysplastic type",disease,GARD
"Ehlers-Danlos syndrome, vascular type",disease,GARD
Ehlers-Danlos-like syndrome due to tenascin-X deficiency,disease,GARD
Ellis Yale Winter syndrome,disease,GARD
Ellis-Van Creveld syndrome,disease,GARD
Emanuel syndrome,disease,GARD
Embryonal carcinoma,disease,GARD
"Emery-Dreifuss muscular dystrophy, dominant type",disease,GARD
"Emery-Dreifuss muscular dystrophy, X-linked",disease,GARD
Encephalitis lethargica,disease,GARD
Encephalocele,disease,GARD
Encephalocraniocutaneous lipomatosis,disease,GARD
Encephalomyopathy,disease,GARD
Endometrial stromal sarcoma,disease,GARD
Enthesitis-related juvenile idiopathic arthritis,disease,GARD
Eosinophilic enteropathy,disease,GARD
Epidermolysa bullosa simplex with muscular dystrophy,disease,GARD
Epidermolysis bullosa acquisita,disease,GARD
"Epidermolysis bullosa simplex, Dowling-Meara type",disease,GARD
"Epidermolysis bullosa simplex, generalized",disease,GARD
"Epidermolysis bullosa simplex, localized",disease,GARD
"Epidermolysis bullosa simplex, Ogna type",disease,GARD
"Epidermolysis bullosa, late-onset localized junctional, with mental retardation",disease,GARD
"Epidermolysis bullosa, lethal acantholytic",disease,GARD
Epidermolytic ichthyosis,disease,GARD
Epilepsy juvenile absence,disease,GARD
Epilepsy occipital calcifications,disease,GARD
Epilepsy progressive myoclonic type 3,disease,GARD
"Epilepsy, benign occipital",disease,GARD
Epiphyseal dysplasia hearing loss dysmorphism,disease,GARD
Epiphyseal dysplasia multiple with early-onset diabetes mellitus,disease,GARD
Episodic ataxia,disease,GARD
Episodic ataxia with nystagmus,disease,GARD
Epithelial basement membrane corneal dystrophy,disease,GARD
Epithelioid sarcoma,disease,GARD
Erdheim-Chester disease,disease,GARD
"Erythema nodosum, idiopathic",disease,GARD
Erythroderma lethal congenital,disease,GARD
Erythromelalgia,disease,GARD
Erythropoietic protoporphyria,disease,GARD
"Escobar syndrome, type B",disease,GARD
Esthesioneuroblastoma,disease,GARD
Ewing's family of tumors,disease,GARD
Exogenous ochronosis,disease,GARD
Exstrophy of the bladder,disease,GARD
Exstrophy-epispadias complex,disease,GARD
"Eyebrows duplication of, with stretchable skin and syndactyly",disease,GARD
Fabry disease,disease,GARD
Facial ectodermal dysplasia,disease,GARD
Facio thoraco genital syndrome,disease,GARD
Faciocardiorenal syndrome,disease,GARD
"Faciomandibular myoclonus, nocturnal",disease,GARD
Factor V Leiden thrombophilia,disease,GARD
Factor XI deficiency,disease,GARD
Factor XIII deficiency,disease,GARD
Fallopian tube cancer,disease,GARD
Fallot complex with severe mental and growth retardation,disease,GARD
"Familial amyloidosis, Finnish type",disease,GARD
Familial atrial fibrillation,disease,GARD
Familial avascular necrosis of the femoral head,disease,GARD
Familial colorectal cancer,disease,GARD
Familial congenital fourth cranial nerve palsy,disease,GARD
Familial dermographism,disease,GARD
Familial dilated cardiomyopathy,disease,GARD
Familial encephalopathy with neuroserpin inclusion bodies,disease,GARD
Familial eosinophilia,disease,GARD
Familial episodic pain syndrome,disease,GARD
Familial erythema nodosum,disease,GARD
"Familial erythrocytosis, 1",disease,GARD
Familial esophageal achalasia,disease,GARD
Familial exudative vitreoretinopathy,disease,GARD
Familial glucocorticoid deficiency,disease,GARD
Familial HDL deficiency,disease,GARD
Familial hemiplegic migraine,disease,GARD
Familial hemiplegic migraine type 1,disease,GARD
Familial hemiplegic migraine type 2,disease,GARD
Familial hemiplegic migraine type 3,disease,GARD
Familial hyperaldosteronism type III,disease,GARD
Familial hyperinsulinism,disease,GARD
Familial hyperlipo-proteinemia type 1,disease,GARD
Familial hyperthyroidism due to mutations in TSH receptor,disease,GARD
Familial hypertrophic cardiomyopathy,disease,GARD
Familial hypocalciuric hypercalcemia type 1,disease,GARD
Familial hypocalciuric hypercalcemia type 2,disease,GARD
Familial hypocalciuric hypercalcemia type 3,disease,GARD
Familial isolated hyperparathyroidism,disease,GARD
Familial joint instability syndrome,disease,GARD
Familial juvenile hyperuricaemic nephropathy,disease,GARD
Familial mixed cryoglobulinemia,disease,GARD
Familial multiple trichodiscomas,disease,GARD
Familial osteochondritis dissecans,disease,GARD
Familial partial lipodystrophy associated with PPARG mutations,disease,GARD
Familial pemphigus vulgaris,disease,GARD
Familial progressive cardiac conduction defect,disease,GARD
Familial prostate cancer,disease,GARD
Familial renal cell carcinoma,disease,GARD
Familial stomach cancer,disease,GARD
Familial tumoral calcinosis,disease,GARD
Familial ventricular tachycardia,disease,GARD
Familial visceral myopathy with external ophthalmoplegia,disease,GARD
Fanconi Bickel syndrome,disease,GARD
Fanconi like syndrome,disease,GARD
Fanconi renotubular syndrome,disease,GARD
Farber's disease,disease,GARD
Fatal familial insomnia,disease,GARD
Febrile infection-related epilepsy syndrome,disease,GARD
Febrile Ulceronecrotic Mucha-Habermann disease,disease,GARD
Feingold syndrome,disease,GARD
Felty's syndrome,disease,GARD
Femoral facial syndrome,disease,GARD
Femur fibula ulna syndrome,disease,GARD
Fetal akinesia syndrome X-linked,disease,GARD
Fetal and neonatal alloimmune thrombocytopenia,disease,GARD
Fetal cystic hygroma,disease,GARD
Fetal hydantoin syndrome,disease,GARD
Fetal retinoid syndrome,disease,GARD
FG syndrome,disease,GARD
FG syndrome 4,disease,GARD
Fibrodysplasia ossificans progressiva,disease,GARD
Fibrolamellar carcinoma,disease,GARD
Fibromuscular dysplasia,disease,GARD
"Fibular aplasia, tibial campomelia, and oligosyndactyly syndrome",disease,GARD
Fibular hypoplasia and complex brachydactyly,disease,GARD
Filippi syndrome,disease,GARD
Fine-Lubinsky syndrome,disease,GARD
Fingerprint body myopathy,disease,GARD
Fitz-Hugh-Curtis syndrome,disease,GARD
Fitzsimmons-Guilbert syndrome,disease,GARD
Floating-Harbor syndrome,disease,GARD
Florid cemento-osseous dysplasia,disease,GARD
Florid papillomatosis of the nipple,disease,GARD
Flynn Aird syndrome,disease,GARD
Focal dermal hypoplasia,disease,GARD
Focal dystonia,disease,GARD
Focal facial dermal dysplasia,disease,GARD
Focal palmoplantar and gingival keratoderma,disease,GARD
"Follicle-stimulating hormone deficiency, isolated",disease,GARD
Fountain syndrome,disease,GARD
Fournier gangrene,disease,GARD
Fowler's syndrome,disease,GARD
Frank Ter Haar syndrome,disease,GARD
Fraser like syndrome,disease,GARD
Freeman Sheldon syndrome,disease,GARD
Freiberg's disease,disease,GARD
Frias syndrome,disease,GARD
Froelich syndrome,disease,GARD
Frontal fibrosing alopecia,disease,GARD
Frontofacionasal dysplasia,disease,GARD
Frontometaphyseal dysplasia,disease,GARD
Frontonasal dysplasia,disease,GARD
Frontotemporal dementia,disease,GARD
"Frontotemporal dementia, ubiquitin-positive",disease,GARD
Fructosuria,disease,GARD
Fryns Hofkens Fabry syndrome,disease,GARD
Fryns syndrome,disease,GARD
Fuchs endothelial corneal dystrophy,disease,GARD
Fucosidosis type 1,disease,GARD
Fuhrmann syndrome,disease,GARD
Fukuyama type muscular dystrophy,disease,GARD
Fumarase deficiency,disease,GARD
Galactose epimerase deficiency,disease,GARD
Galactosialidosis,disease,GARD
Galloway-Mowat syndrome,disease,GARD
Game Friedman Paradice syndrome,disease,GARD
Gamma aminobutyric acid transaminase deficiency,disease,GARD
Gamma heavy chain disease,disease,GARD
Gamma-cystathionase deficiency,disease,GARD
Gangliocytoma,disease,GARD
Gardner syndrome,disease,GARD
Gardner-Diamond syndrome,disease,GARD
Gastric lymphoma,disease,GARD
Gastrocutaneous syndrome,disease,GARD
Geleophysic dwarfism,disease,GARD
Generalized pustular psoriasis,disease,GARD
Geniospasm,disease,GARD
Genitopatellar syndrome,disease,GARD
Genoa syndrome,disease,GARD
Genochondromatosis,disease,GARD
"Genu valgum, st Helena familial",disease,GARD
Geroderma osteodysplastica,disease,GARD
Gerstmann-Straussler-Scheinker disease,disease,GARD
Gestational trophoblastic tumor,disease,GARD
Ghosal hematodiaphyseal dysplasia syndrome,disease,GARD
Giant axonal neuropathy,disease,GARD
Giant platelet syndrome,disease,GARD
Gigantomastia,disease,GARD
Gilbert syndrome,disease,GARD
"Gingival fibromatosis, 1",disease,GARD
Glanzmann thrombasthenia,disease,GARD
Glass-Chapman-Hockley syndrome,disease,GARD
Glaucoma 3 primary infantile B,disease,GARD
Glaucoma sleep apnea,disease,GARD
Glioblastoma,disease,GARD
Glioma,disease,GARD
Gliomatosis cerebri,disease,GARD
Globozoospermia,disease,GARD
Glomerulonephritis with sparse hair and telangiectases,disease,GARD
Glomerulopathy with fibronectin deposits 1,disease,GARD
Glomerulopathy with fibronectin deposits 2,disease,GARD
Glomus tympanicum tumor,disease,GARD
Glucocorticoid-remediable aldosteronism,disease,GARD
Glucose transporter type 1 deficiency syndrome,disease,GARD
Glutamate formiminotransferase deficiency,disease,GARD
"Glutamine deficiency, congenital",disease,GARD
Glutaric acidemia type I,disease,GARD
Glutaric acidemia type II,disease,GARD
Glutaric acidemia type III,disease,GARD
Glutathione synthetase deficiency,disease,GARD
Glycogen storage disease type 12,disease,GARD
Glycogen storage disease type 13,disease,GARD
Glycogen storage disease type 1B,disease,GARD
Glycogen storage disease type 4,disease,GARD
Glycogen storage disease type 6,disease,GARD
Glycogen storage disease type 7,disease,GARD
Glycosylphosphatidylinositol deficiency,disease,GARD
GM1 gangliosidosis,disease,GARD
GM1 gangliosidosis type 1,disease,GARD
GM1 gangliosidosis type 2,disease,GARD
GM1 gangliosidosis type 3,disease,GARD
Goldberg-Shprintzen megacolon syndrome,disease,GARD
Goldenhar disease,disease,GARD
Gollop Coates syndrome,disease,GARD
GOMBO syndrome,disease,GARD
"Gonadal dysgenesis, XX type",disease,GARD
Good syndrome,disease,GARD
Gordon syndrome,disease,GARD
Gorham's disease,disease,GARD
Gorlin Bushkell Jensen syndrome,disease,GARD
Gorlin Chaudhry Moss syndrome,disease,GARD
GOSR2-related progressive myoclonus ataxia,disease,GARD
Gracile bone dysplasia,disease,GARD
GRACILE syndrome,disease,GARD
Graham Boyle Troxell syndrome,disease,GARD
Graham-Cox syndrome,disease,GARD
Granulomatous Amebic Encephalitis,disease,GARD
Graves' disease,disease,GARD
Gray platelet syndrome,disease,GARD
Gray zone lymphoma,disease,GARD
Greig cephalopolysyndactyly syndrome,disease,GARD
Griscelli syndrome,disease,GARD
Griscelli syndrome type 3,disease,GARD
Groenouw type I corneal dystrophy,disease,GARD
Growth hormone deficiency,disease,GARD
Growth hormone insensitivity with immunodeficiency,disease,GARD
Grubben de Cock Borghgraef syndrome,disease,GARD
GTP cyclohydrolase I deficiency,disease,GARD
Guanidinoacetate methyltransferase deficiency,disease,GARD
Guillain-Barre syndrome,disease,GARD
Gupta Patton syndrome,disease,GARD
Guttate psoriasis,disease,GARD
Hailey-Hailey disease,disease,GARD
Haim-Munk syndrome,disease,GARD
Hair defect with photosensitivity and mental retardation,disease,GARD
HAIR-AN syndrome,disease,GARD
Hairy elbows,disease,GARD
Hairy nose tip,disease,GARD
Hairy palms and soles,disease,GARD
Hairy tongue,disease,GARD
Hall Riggs mental retardation syndrome,disease,GARD
Hallermann-Streiff syndrome,disease,GARD
Hamanishi Ueba Tsuji syndrome,disease,GARD
Hand and foot deformity with flat facies,disease,GARD
Hanhart syndrome,disease,GARD
Hansen's disease,disease,GARD
Hantavirus pulmonary syndrome,disease,GARD
Hard skin syndrome Parana type,disease,GARD
Hardikar syndrome,disease,GARD
Harlequin ichthyosis,disease,GARD
Harrod Doman Keele syndrome,disease,GARD
Hartnup disease,disease,GARD
Hashimoto's encephalitis,disease,GARD
Hashimoto's syndrome,disease,GARD
Hawkinsinuria,disease,GARD
"Heart-hand syndrome, Slovenian type",disease,GARD
"Heart-hand syndrome, Spanish type",disease,GARD
Hemangioendothelioma,disease,GARD
Hemangioma thrombocytopenia syndrome,disease,GARD
"Hemangiomatosis, familial pulmonary capillary",disease,GARD
Hemangiopericytoma,disease,GARD
Hemifacial hyperplasia strabismus,disease,GARD
Hemifacial microsomia,disease,GARD
Hemifacial myohyperplasia,disease,GARD
Hemochromatosis type 1,disease,GARD
Hemochromatosis type 4,disease,GARD
Hemoglobin E disease,disease,GARD
Hemolytic anemia lethal congenital nonspherocytic with genital and other abnormalities,disease,GARD
Hemolytic uremic syndrome,disease,GARD
"Hemolytic uremic syndrome, atypical, childhood",disease,GARD
Hemophagocytic lymphohistiocytosis,disease,GARD
"Hemophagocytic lymphohistiocytosis, familial, 3",disease,GARD
"Hemophagocytic lymphohistiocytosis, familial, 4",disease,GARD
Hemorrhagic shock and encephalopathy syndrome,disease,GARD
Hennekam syndrome,disease,GARD
Henoch-Schonlein purpura,disease,GARD
Heparin-induced thrombocytopenia,disease,GARD
Hepatic encephalopathy,disease,GARD
Hepatic lipase deficiency,disease,GARD
Hepatic venoocclusive disease with immunodeficiency,disease,GARD
Hepatoblastoma,disease,GARD
"Hepatocellular carcinoma, childhood",disease,GARD
"Hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome",disease,GARD
Hereditary cerebral hemorrhage with amyloidosis,disease,GARD
Hereditary congenital facial paresis,disease,GARD
Hereditary diffuse leukoencephalopathy with spheroids,disease,GARD
"Hereditary endotheliopathy, retinopathy, nephropathy, and stroke",disease,GARD
Hereditary hemorrhagic telangiectasia,disease,GARD
Hereditary hemorrhagic telangiectasia type 4,disease,GARD
Hereditary leiomyomatosis and renal cell cancer,disease,GARD
Hereditary lymphedema type II,disease,GARD
Hereditary mucoepithelial dysplasia,disease,GARD
Hereditary multiple osteochondromas,disease,GARD
Hereditary neuralgic amyotrophy,disease,GARD
Hereditary sensory and autonomic neuropathy,disease,GARD
Hereditary sensory and autonomic neuropathy type V,disease,GARD
Hereditary sensory neuropathy type 1,disease,GARD
Hereditary sensory neuropathy type IE,disease,GARD
Hereditary spherocytosis,disease,GARD
Hereditary vascular retinopathy,disease,GARD
Hermansky Pudlak syndrome 2,disease,GARD
Hermansky-Pudlak syndrome,disease,GARD
Herpes simplex encephalitis,disease,GARD
Herpes zoster oticus,disease,GARD
Herrmann syndrome,disease,GARD
Hidradenocarcinoma,disease,GARD
High molecular weight kininogen deficiency,disease,GARD
Hirschsprung disease polydactyly heart disease,disease,GARD
Hirschsprung disease type 3,disease,GARD
Hirschsprung disease type d brachydactyly,disease,GARD
His bundle tachycardia,disease,GARD
Histidinemia,disease,GARD
Histidinuria renal tubular defect,disease,GARD
Histiocytosis-lymphadenopathy plus syndrome,disease,GARD
Holocarboxylase synthetase deficiency,disease,GARD
"Holoprosencephaly, recurrent infections, and monocytosis",disease,GARD
Holt-Oram syndrome,disease,GARD
Holzgreve syndrome,disease,GARD
Homocarnosinosis,disease,GARD
Hooft disease,disease,GARD
Horizontal gaze palsy with progressive scoliosis,disease,GARD
Hoyeraal Hreidarsson syndrome,disease,GARD
HTLV-1 associated myelopathy/tropical spastic paraparesis,disease,GARD
Human T-cell leukemia virus type 1,disease,GARD
Human T-cell leukemia virus type 2,disease,GARD
Hunter Rudd Hoffmann syndrome,disease,GARD
HurlerScheie syndrome,disease,GARD
Hyde Forster Mccarthy Berry syndrome,disease,GARD
Hydranencephaly,disease,GARD
Hydrocephalus due to congenital stenosis of aqueduct of sylvius,disease,GARD
Hydrocephalus obesity hypogonadism,disease,GARD
"Hydrocephalus, costovertebral dysplasia, and Sprengel anomaly",disease,GARD
Hydrolethalus syndrome,disease,GARD
"Hydrops, Ectopic calcification, Moth-eaten skeletal dysplasia",disease,GARD
"Hypercholesterolemia, autosomal dominant",disease,GARD
Hyperglycerolemia,disease,GARD
Hyper-IgD syndrome,disease,GARD
Hyperinsulinemic hypoglycemia familial 2,disease,GARD
Hyperinsulinemic hypoglycemia familial 3,disease,GARD
Hyperlipidemia type 3,disease,GARD
Hyperlipoproteinemia type 4,disease,GARD
Hyperlipoproteinemia type 5,disease,GARD
Hypermanganesemia with dystonia polycythemia and cirrhosis,disease,GARD
"Hyperostosis corticalis generalisata, benign form of Worth with torus palatinus",disease,GARD
Hyperparathyroidism-jaw tumor syndrome,disease,GARD
Hyperprolinemia type 2,disease,GARD
Hypertelorism and tetralogy of Fallot,disease,GARD
Hyperthermia induced defects,disease,GARD
Hypertrichosis congenital generalized X-linked,disease,GARD
Hypertrichosis lanuginosa congenita,disease,GARD
"Hypertrichosis lanuginosa, acquired",disease,GARD
"Hypertrichosis, hyperkeratosis, mental retardation, and distinctive facial features",disease,GARD
Hypertrophic neuropathy of Dejerine-Sottas,disease,GARD
Hypertryptophanemia,disease,GARD
Hypoaldosteronism,disease,GARD
"Hypocalcemia, autosomal dominant",disease,GARD
Hypochondroplasia,disease,GARD
Hypochromic microcytic anemia with iron overload,disease,GARD
Hypocomplementemic urticarial vasculitis syndrome,disease,GARD
Hypohidrotic ectodermal dysplasia,disease,GARD
Hypohidrotic ectodermal dysplasia with hypothyroidism and ciliary dyskinesia,disease,GARD
Hypohidrotic ectodermal dysplasia with immune deficiency,disease,GARD
Hypolipoproteinemia,disease,GARD
"Hypomagnesemia 2, renal",disease,GARD
Hypomagnesemia 6,disease,GARD
Hypomagnesemia primary,disease,GARD
Hypomandibular faciocranial dysostosis,disease,GARD
Hypomelia mullerian duct anomalies,disease,GARD
Hypomyelination with atrophy of basal ganglia and cerebellum,disease,GARD
Hypoparathyroidism-retardation-dysmorphism syndrome,disease,GARD
Hypophosphatasia,disease,GARD
Hypophosphatemic rickets,disease,GARD
Hypoplastic right heart syndrome,disease,GARD
Hypothalamic hamartomas,disease,GARD
Hypotrichosis simplex,disease,GARD
Hypotrichosis-lymphedema-telangiectasia syndrome,disease,GARD
I cell disease,disease,GARD
IBIDS syndrome,disease,GARD
ICF syndrome,disease,GARD
"Ichthyosiform erythroderma, corneal involvement, deafness",disease,GARD
Ichthyosis alopecia eclabion ectropion mental retardation,disease,GARD
Ichthyosis and male hypogonadism,disease,GARD
Ichthyosis bullosa of Siemens,disease,GARD
Ichthyosis cheek eyebrow syndrome,disease,GARD
Ichthyosis follicularis atrichia photophobia syndrome,disease,GARD
Ichthyosis hystrix gravior,disease,GARD
"Ichthyosis hystrix, Curth Macklin type",disease,GARD
Ichthyosis prematurity syndrome,disease,GARD
"Ichthyosis, acquired",disease,GARD
"Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis",disease,GARD
Ichthyosis-mental retardation syndrome with large keratohyalin granules in the skin,disease,GARD
Idiopathic acute eosinophilic pneumonia,disease,GARD
Idiopathic basal ganglia calcification childhood-onset,disease,GARD
Idiopathic CD4 positive T-lymphocytopenia,disease,GARD
Idiopathic inflammatory myopathy,disease,GARD
Idiopathic juxtafoveal retinal telangiectasia,disease,GARD
Idiopathic neutropenia,disease,GARD
Idiopathic thrombocytopenic purpura,disease,GARD
IMAGe syndrome,disease,GARD
Imerslund-Grasbeck syndrome,disease,GARD
Iminoglycinuria,disease,GARD
"Immotile cilia syndrome, due to defective radial spokes",disease,GARD
Immune defect due to absence of thymus,disease,GARD
Immune dysfunction with T-cell inactivation due to calcium entry defect 1,disease,GARD
Immune dysfunction with T-cell inactivation due to calcium entry defect 2,disease,GARD
Immunodeficiency with hyper IgM type 1,disease,GARD
Immunodeficiency with hyper IgM type 2,disease,GARD
Immunodeficiency with hyper IgM type 5,disease,GARD
Immunodeficiency without anhidrotic ectodermal dysplasia,disease,GARD
Immunoglobulin A deficiency 2,disease,GARD
Immunotactoid glomerulopathy,disease,GARD
Immunotactoid or fibrillary glomerulopathy,disease,GARD
Impairment of oral perception,disease,GARD
Imperforate oropharynx-costo vetebral anomalies,disease,GARD
Inclusion body myopathy 2,disease,GARD
Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia,disease,GARD
Inclusion body myositis,disease,GARD
Infantile axonal neuropathy,disease,GARD
"Infantile convulsions and paroxysmal choreoathetosis, familial",disease,GARD
Infantile myofibromatosis,disease,GARD
Infantile Parkinsonism-dystonia,disease,GARD
Infantile spasms broad thumbs,disease,GARD
Infantile-onset ascending hereditary spastic paralysis,disease,GARD
Infectious arthritis,disease,GARD
Inflammatory breast cancer,disease,GARD
